City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Hilo,US,2022-09-03 20:15:44,19.7297,-155.09,87.28,74,20,6.91,few clouds
70,Sosnovo,RU,2022-09-03 20:17:18,60.5514,30.2144,45.81,84,74,8.3,broken clouds
71,Kiunga,PG,2022-09-03 20:17:18,-6.1219,141.2906,72.61,100,82,1.21,moderate rain
72,Viedma,AR,2022-09-03 20:17:19,-40.8135,-62.9967,76.93,11,0,19.93,clear sky
73,Alamosa,US,2022-09-03 20:17:19,37.4695,-105.87,76.98,27,0,3.44,clear sky
74,Namibe,AO,2022-09-03 20:17:20,-15.1961,12.1522,63.81,88,61,3.18,broken clouds
75,Bredasdorp,ZA,2022-09-03 20:17:20,-34.5322,20.0403,49.98,91,1,5.03,clear sky
76,Amapa,BR,2022-09-03 20:17:20,1.0,-52.0,81.77,63,100,5.64,overcast clouds
77,Diamantino,BR,2022-09-03 20:15:44,-14.4086,-56.4461,95.02,20,5,8.32,clear sky
78,Broome,US,2022-09-03 20:17:21,42.2506,-75.833,82.45,65,20,4.61,few clouds
79,Saint George,US,2022-09-03 20:16:56,37.1041,-113.5841,103.78,18,0,1.99,clear sky
80,Airai,TL,2022-09-03 20:17:21,-8.9266,125.4092,57.54,88,8,2.82,clear sky
81,Lazi,UA,2022-09-03 20:17:22,48.0667,24.2333,54.16,98,100,2.59,overcast clouds
82,Kahului,US,2022-09-03 20:17:22,20.8947,-156.47,84.22,75,40,17.27,light rain
83,Upernavik,GL,2022-09-03 20:17:23,72.7868,-56.1549,42.26,97,100,10.78,light rain
84,Palmer,US,2022-09-03 20:17:01,42.1584,-72.3287,82.06,46,75,8.05,broken clouds
85,Mar Del Plata,AR,2022-09-03 20:17:23,-38.0023,-57.5575,68.02,32,0,18.41,clear sky
86,Alyangula,AU,2022-09-03 20:17:24,-13.8483,136.4192,72.16,58,4,19.01,clear sky
87,Mareeba,AU,2022-09-03 20:17:24,-17.0,145.4333,63.32,81,10,3.13,clear sky
88,Moerai,PF,2022-09-03 20:17:24,-22.4333,-151.3333,74.25,81,100,15.08,overcast clouds
89,Komsomolskiy,UZ,2022-09-03 20:17:25,40.4272,71.7189,70.52,35,0,9.22,clear sky
90,Maykor,RU,2022-09-03 20:18:25,59.0059,55.88,43.54,89,16,11.25,few clouds
91,Ratnagiri,IN,2022-09-03 20:18:26,16.9833,73.3,79.14,90,63,3.58,broken clouds
92,Rawson,AR,2022-09-03 20:18:26,-43.3002,-65.1023,71.15,19,0,16.51,clear sky
93,Alofi,NU,2022-09-03 20:18:26,-19.0595,-169.9187,76.89,65,40,14.97,scattered clouds
94,Carnarvon,AU,2022-09-03 20:18:27,-24.8667,113.6333,66.24,76,0,14.09,clear sky
95,Buraydah,SA,2022-09-03 20:16:39,26.326,43.975,88.25,10,0,3.85,clear sky
96,Awbari,LY,2022-09-03 20:18:27,26.5921,12.7805,90.1,17,0,15.68,clear sky
97,Sri Aman,MY,2022-09-03 20:18:28,1.2376,111.4621,73.45,100,100,0.0,overcast clouds
98,Sao Jose Da Coroa Grande,BR,2022-09-03 20:18:28,-8.8978,-35.1478,76.06,72,59,9.46,broken clouds
99,Dese,ET,2022-09-03 20:18:28,11.1333,39.6333,52.38,88,89,5.06,light rain
100,Voh,NC,2022-09-03 20:18:29,-20.9667,164.7,69.58,84,53,6.06,broken clouds
101,Antofagasta,CL,2022-09-03 20:18:29,-23.65,-70.4,58.28,68,19,7.36,few clouds
102,Rocha,UY,2022-09-03 20:15:26,-34.4833,-54.3333,53.28,63,0,6.6,clear sky
103,Nouadhibou,MR,2022-09-03 20:18:30,20.931,-17.0347,82.38,74,64,14.97,broken clouds
104,Arraial Do Cabo,BR,2022-09-03 20:18:30,-22.9661,-42.0278,69.76,88,20,17.27,few clouds
