City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Robertsport,LR,2022-09-03 18:12:51,6.7533,-11.3686,78.57,81,70,8.16
89,Mugur-Aksy,RU,2022-09-03 18:12:51,50.35,90.5,46.54,58,79,4.54
90,Naron,ES,2022-09-03 18:12:52,43.5167,-8.1528,71.6,63,81,13.8
91,Shestakovo,RU,2022-09-03 18:12:52,56.4915,103.96,42.51,94,100,5.68
92,Ruston,US,2022-09-03 18:10:37,32.5232,-92.6379,85.59,74,0,0.0
93,Dingle,PH,2022-09-03 18:12:52,10.9995,122.6711,76.44,91,100,4.16
94,Caravelas,BR,2022-09-03 18:12:53,-17.7125,-39.2481,76.46,62,27,11.25
95,Wuwei,CN,2022-09-03 18:13:53,37.9281,102.6414,62.91,37,100,10.65
96,Tamandare,BR,2022-09-03 18:13:53,-8.7597,-35.1047,78.62,62,2,8.72
97,Dikson,RU,2022-09-03 18:13:54,73.5069,80.5464,38.41,82,8,10.94
98,Naze,JP,2022-09-03 18:13:54,28.3667,129.4833,81.52,80,100,27.83
99,Takoradi,GH,2022-09-03 18:13:55,4.8845,-1.7554,77.58,83,69,10.47
100,Hobyo,SO,2022-09-03 18:13:55,5.3505,48.5268,76.26,81,25,25.95
101,Berlevag,NO,2022-09-03 18:13:55,70.8578,29.0864,44.6,70,100,13.8
102,Sovetskaya Gavan,RU,2022-09-03 18:12:18,48.9723,140.2878,58.42,77,0,4.07
103,Muromtsevo,RU,2022-09-03 18:13:56,56.3724,75.2418,77.81,36,89,17.65
104,Tiksi,RU,2022-09-03 18:13:56,71.6872,128.8694,35.71,77,100,13.49
105,Lata,PT,2022-09-03 18:13:57,40.1629,-8.3327,67.82,49,0,8.39
106,Mehamn,NO,2022-09-03 18:13:57,71.0357,27.8492,44.55,81,100,11.5
107,Kahului,US,2022-09-03 18:13:58,20.8947,-156.47,78.82,87,40,8.05
108,La Ronge,CA,2022-09-03 18:13:58,55.1001,-105.2842,80.82,36,40,9.22
109,Sitka,US,2022-09-03 18:13:58,57.0531,-135.33,60.69,77,40,4.61
110,Shugurovo,RU,2022-09-03 18:13:59,54.5083,52.1326,47.79,64,73,2.17
111,Tilichiki,RU,2022-09-03 18:13:59,60.4667,166.1,50.74,92,93,3.11
112,Vaini,TO,2022-09-03 18:13:59,-21.2,-175.2,68.16,83,40,5.75
113,Kodiak,US,2022-09-03 18:14:00,57.79,-152.4072,53.11,76,100,0.0
114,Phon,TH,2022-09-03 18:14:00,15.816,102.5998,83.86,80,98,5.97
115,Kavieng,PG,2022-09-03 18:14:01,-2.5744,150.7967,81.39,78,40,14.92
116,Coquimbo,CL,2022-09-03 18:13:29,-29.9533,-71.3436,62.33,72,0,12.66
117,Jamestown,US,2022-09-03 18:14:01,42.097,-79.2353,82.71,56,0,9.22
118,Batticaloa,LK,2022-09-03 18:14:02,7.7102,81.6924,81.75,77,100,5.03
119,Roma,US,2022-09-03 18:14:02,43.2128,-75.4557,81.82,66,0,8.05
120,Bethel,US,2022-09-03 18:14:03,41.3712,-73.414,84.18,48,0,3.44
121,Victoria,HK,2022-09-03 18:12:08,22.2855,114.1577,86.38,62,29,5.01
122,Bathsheba,BB,2022-09-03 18:14:03,13.2167,-59.5167,84.81,79,75,19.57
123,Luderitz,NA,2022-09-03 18:14:03,-26.6481,15.1594,55.89,77,1,8.21
124,Nikolskoye,RU,2022-09-03 18:14:04,59.7035,30.7861,46.29,91,47,5.37
125,Saint Anthony,US,2022-09-03 18:14:04,45.0205,-93.218,74.93,54,0,11.5
126,Comodoro Rivadavia,AR,2022-09-03 18:13:23,-45.8667,-67.5,64.26,32,0,33.38
127,Cockburn Town,TC,2022-09-03 18:14:05,21.4612,-71.1419,87.76,58,40,11.5
128,Thompson,CA,2022-09-03 18:14:05,55.7435,-97.8558,68.16,56,20,17.27
129,Provideniya,RU,2022-09-03 18:14:06,64.3833,-173.3,47.03,82,90,5.12
130,Moerai,PF,2022-09-03 18:14:06,-22.4333,-151.3333,74.14,79,81,15.88
131,Nuevitas,CU,2022-09-03 18:14:07,21.5453,-77.2644,87.12,62,14,12.73
132,Arraial Do Cabo,BR,2022-09-03 18:14:07,-22.9661,-42.0278,73.36,83,40,18.41
133,Lithakia,GR,2022-09-03 18:14:07,37.7167,20.8333,78.08,69,20,10.36
134,Chamba,IN,2022-09-03 18:14:08,32.5667,76.1333,72.3,88,35,3.58
135,Alofi,NU,2022-09-03 18:14:09,-19.0595,-169.9187,71.49,78,3,6.91
136,San Patricio,US,2022-09-03 18:14:09,28.017,-97.5169,87.17,71,98,6.58
137,Greytown,ZA,2022-09-03 18:14:09,-29.0642,30.5928,57.76,88,30,3.42
138,Kruisfontein,ZA,2022-09-03 18:14:10,-34.0033,24.7314,56.88,88,2,5.64
139,Ovalle,CL,2022-09-03 18:14:10,-30.5983,-71.2003,78.82,17,0,6.35
140,Port Lincoln,AU,2022-09-03 18:15:11,-34.7333,135.8667,51.64,79,59,12.41
141,Pucallpa,PE,2022-09-03 18:10:18,-8.3791,-74.5539,95.04,41,40,4.61
142,Krasnoselkup,RU,2022-09-03 18:15:11,65.7,82.4667,45.73,94,100,22.68
